name,year,age,team,pos,uniform_number,g,gs,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,av,awards
Matt Ammendola,2021,25,NYJ,K,6,11,0,,,5,5,6,6,5,2,3,,19,13,49,68.4%,15,14,93.3%,47,2762,27,57.4%,58.8,0
Matt Ammendola,2022,26,2TM,K,,4,0,1,1,3,3,2,1,1,,,,7,5,31,71.4%,7,5,71.4%,16,1022,12,75.0%,63.9,0
Matt Ammendola,2023,27,HOU,K,16,5,0,,,2,2,3,3,2,1,2,,9,6,45,66.7%,11,10,90.9%,22,1402,16,72.7%,63.7,0
Brandon Aubrey,2023,28,DAL,K,17,17,0,,,9,9,15,13,4,4,10,10,38,36,60,94.7%,52,49,94.2%,109,7068,99,90.8%,64.8,5,"AP1,PB"
Brandon Aubrey,2024,29,DAL,K,17,2,0,,,,,1,1,4,4,3,3,8,8,57,100.0%,4,4,100.0%,13,833,9,69.2%,64.1,,
Michael Badgley,2019,24,LAC,K,4,8,0,,,5,5,2,2,8,6,1,,16,13,49,81.3%,19,19,100.0%,11,665,1,9.1%,60.5,2
Michael Badgley,2020,25,LAC,K,4,16,0,,,8,8,6,6,13,8,6,2,33,24,53,72.7%,39,36,92.3%,3,177,,,59.0,1
Michael Badgley,2021,26,2TM,K,,13,0,,,4,4,7,6,10,8,1,,22,18,46,81.8%,41,40,97.6%,5,270,3,60.0%,54.0,3
Michael Badgley,2022,27,2TM,K,,13,0,,,7,6,7,7,11,9,3,2,28,24,53,85.7%,33,33,100.0%,5,195,1,20.0%,39.0,3
Michael Badgley,2023,28,DET,K,17,4,0,,,,,3,3,1,1,,,4,4,41,100.0%,15,13,86.7%,1,10,,,10.0,1
Tyler Bass,2020,23,BUF,K,2,16,0,1,1,9,9,9,6,9,8,6,4,34,28,58,82.4%,59,57,96.6%,101,6469,71,70.3%,64.0,3
